source	target	number_of_paths	node_type	node_count
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	GENE	2100
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	DISO	700
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	700	PHYS	700
NGLY1::NCBIGene:55768	Aqp1::NCBIGene:11826	0	NA	0
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	324	GENE	972
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	324	DISO	324
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	324	PHYS	324
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	72	GENE	216
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	72	DISO	72
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	72	PHYS	72
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	144	GENE	432
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	144	DISO	144
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	144	PHYS	144
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	168	GENE	504
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	168	DISO	168
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	168	PHYS	168
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	16	GENE	48
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	16	DISO	16
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	16	PHYS	16
AQP1::NCBIGene:358	Aqp1::NCBIGene:11826	0	NA	0
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	172	GENE	516
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	172	DISO	172
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	172	PHYS	172
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	12	GENE	36
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	12	DISO	12
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	12	PHYS	12
AQP1::NCBIGene:358	AQP3::NCBIGene:360	532	GENE	1596
AQP1::NCBIGene:358	AQP3::NCBIGene:360	532	DISO	532
AQP1::NCBIGene:358	AQP3::NCBIGene:360	532	PHYS	532
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	64	GENE	192
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	64	DISO	64
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	64	PHYS	64
Aqp1::NCBIGene:11826	NGLY1::NCBIGene:55768	0	NA	0
Aqp1::NCBIGene:11826	AQP1::NCBIGene:358	0	NA	0
Aqp1::NCBIGene:11826	NFE2L1::NCBIGene:4779	0	NA	0
Aqp1::NCBIGene:11826	ENGASE::NCBIGene:64772	0	NA	0
Aqp1::NCBIGene:11826	AQP3::NCBIGene:360	0	NA	0
Aqp1::NCBIGene:11826	AQP11::NCBIGene:282679	0	NA	0
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	32	GENE	96
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	32	DISO	32
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	32	PHYS	32
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	992	GENE	2976
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	992	DISO	992
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	992	PHYS	992
NFE2L1::NCBIGene:4779	Aqp1::NCBIGene:11826	0	NA	0
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	16	GENE	48
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	16	DISO	16
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	16	PHYS	16
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	280	GENE	840
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	280	DISO	280
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	280	PHYS	280
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	132	GENE	396
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	132	DISO	132
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	132	PHYS	132
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	0	NA	0
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	0	NA	0
ENGASE::NCBIGene:64772	Aqp1::NCBIGene:11826	0	NA	0
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	0	NA	0
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	0	NA	0
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	0	NA	0
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	0	NA	0
AQP3::NCBIGene:360	AQP1::NCBIGene:358	2864	GENE	8592
AQP3::NCBIGene:360	AQP1::NCBIGene:358	2864	DISO	2864
AQP3::NCBIGene:360	AQP1::NCBIGene:358	2864	PHYS	2864
AQP3::NCBIGene:360	Aqp1::NCBIGene:11826	0	NA	0
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	184	GENE	552
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	184	DISO	184
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	184	PHYS	184
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	8	GENE	24
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	8	DISO	8
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	8	PHYS	8
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	68	GENE	204
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	68	DISO	68
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	68	PHYS	68
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	24	GENE	72
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	24	DISO	24
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	24	PHYS	24
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	1028	GENE	3084
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	1028	DISO	1028
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	1028	PHYS	1028
AQP11::NCBIGene:282679	Aqp1::NCBIGene:11826	0	NA	0
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	208	GENE	624
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	208	DISO	208
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	208	PHYS	208
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	16	GENE	48
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	16	DISO	16
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	16	PHYS	16
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	372	GENE	1116
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	372	DISO	372
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	372	PHYS	372
